tree_depth,nu,cascade_depth,feature_pool_size,num_test_splits,oversampling_amount,oversampling_translation_jitter,training_err,val_err,testing_err,testing_err_aa,training_nrmse,val_nrmse,testing_nrmse,testing_nrmse_aa,inference_speed,inference_speed_aa,model_size,training_time
12,0.25,20,250,300,20,0.25,0,15.8463278829,15.9874154677,14.9071551506,0.0958417843,0.1650047306,0.1718943141,0.1691081246,0.0067419551,0.006971904,18828516245,28658.5128898621
12,0.01,20,1000,20,20,0.1,0.0323913838,4.653636172,4.9786348765,6.2227171255,0.0103688479,0.0463259252,0.0528650777,0.0703252279,0.0060182164,0.0060346421,21501299010,18205.9480307102
12,0.01,15,250,20,1,0.25,0,8.634619452,9.4007168106,10.4326105317,0.0375126304,0.0885588315,0.1007895387,0.1156686368,0.004881292,0.0049055852,14995363334,11624.7117714882
8,0.25,25,100,20,20,0,0,6.5202296001,6.6913736709,8.919570659,0.0277812919,0.0695191941,0.0732721408,0.099915643,0.0045698102,0.0045835644,1755489983,3101.0014576912
4,0.01,20,750,100,20,0.25,3.0884996095,3.6392464531,4.1588370922,5.8418259103,0.0354408306,0.0387134274,0.0457027992,0.0660346948,0.0022921133,0.0023166624,106065384,1228.0383691788
12,0.01,10,750,100,40,0.1,0.2235428736,4.163119538,4.3367075319,5.9456879024,0.0058849153,0.0418052885,0.0463630963,0.0672050738,0.0031013476,0.0031010092,12367000696,13322.6794581413
8,0.01,25,1000,20,1,0.1,0,6.4278188891,7.205602755,8.9799368679,0.0266314992,0.0670856497,0.0771655934,0.1005843777,0.005052584,0.0052243277,1830423475,1395.0829720497
8,0.01,10,500,100,40,0.1,1.3682080096,3.1722115053,3.4467680415,5.3393353064,0.0160616194,0.0331621364,0.0368896122,0.0602150803,0.0018639677,0.0018481343,837182568,2796.7703385353
12,0.01,10,750,20,40,0.25,0.2887007292,4.2129445871,4.9036576487,6.3626377193,0.0075913523,0.0454005022,0.0522620607,0.0730259926,0.0034074621,0.0033906335,12196047657,11131.5959396362
12,0.1,25,250,100,1,0.25,0,8.4091868482,9.1952899064,10.46351186,0.0366205619,0.0882143057,0.0995779892,0.1162220804,0.0077923565,0.0082592716,24482492130,23306.0711302757
4,0.1,25,100,300,1,0.25,0,5.9552891222,6.7468806222,8.8307187408,0.0261625682,0.0577384092,0.0712962172,0.0977986289,0.0027690651,0.0029710679,125327224,223.1230094433
12,0.25,20,1000,20,1,0.25,0,9.8773735683,10.514123898,11.5135693202,0.0490699503,0.1017104434,0.1138394007,0.1281108817,0.0063618013,0.006334261,18527342648,15618.3095510006
12,0.1,20,250,100,1,0.1,0,8.5140264598,9.2034160619,10.4809180969,0.0364015368,0.0888119092,0.1006462276,0.1164542823,0.0059706306,0.0059641914,19554817071,18469.369032383
4,0.01,10,250,300,20,0.1,3.4489614421,3.7848595742,4.174965655,5.8577842447,0.0398105784,0.0400546313,0.0448661476,0.0663774876,0.0007881693,0.0007944404,52882455,807.5482952595
8,0.1,10,500,300,1,0.1,0,7.0191129903,7.5670857637,9.6081306683,0.0293092994,0.0721972271,0.0818127162,0.1075389337,0.0018383815,0.001974757,652200228,875.6155397892
4,0.25,20,750,300,20,0.1,0.4806027402,2.995460268,3.4310078702,5.2240853383,0.0094336291,0.031683486,0.0357444197,0.0590415281,0.0019701949,0.0019636607,104708106,1712.5612614155
12,0.1,10,250,100,40,0.25,5.20475506422668E-06,11.8301794972,12.4828755417,11.704403683,0.0641337139,0.1221978292,0.1356033638,0.1331671957,0.0030594035,0.0032297999,10138474769,11977.4305741787
12,0.01,25,500,100,1,0.1,0,8.0653730261,8.7647126532,10.0835488304,0.0331978392,0.0839516083,0.0947613189,0.1123628886,0.0074788624,0.0079484603,25355331449,23446.5452682972
8,0.25,15,750,100,40,0,0.0106402156,4.8229468502,4.9339294361,6.8178244174,0.0162897776,0.0517189735,0.0542947106,0.0768766939,0.0028996638,0.0028903772,1074868707,4060.419757843
8,0.1,10,750,100,20,0,0.1691935703,4.1473597077,4.4118104859,6.2262796233,0.0118466173,0.0399262588,0.0463390709,0.0692004702,0.0019171967,0.0019105568,769451888,1642.1814734936
8,0.01,15,500,20,1,0.1,0,6.7119764878,7.371704543,9.3149678316,0.027058417,0.069302167,0.0780312696,0.1037078759,0.0028874707,0.0028773496,1127362994,860.9228246212
4,0.25,20,750,20,20,0,0.539345157,3.0422251669,3.4489463012,5.3410715223,0.0091658909,0.0324970079,0.0376054828,0.0597885293,0.0024523456,0.0024563306,105397772,1011.8588905335
8,0.01,15,1000,100,1,0.25,0,6.3660264427,7.119791724,9.0993896366,0.0261382914,0.0661874212,0.0763518312,0.1021900525,0.0029108762,0.0028990278,1129759873,1017.3467490673
12,0.25,15,500,300,1,0.1,0,9.3362314219,9.4248049403,11.1567056173,0.0392255399,0.09139342,0.1028103011,0.123768622,0.0050088451,0.0049890798,13852972901,18821.1619989872
8,0.1,25,500,100,1,0,0,7.425762678,8.0211890721,9.6157556469,0.030626124,0.0780601688,0.0829366271,0.1070276166,0.0052375402,0.005212837,1638408476,1575.3233540058
4,0.01,10,750,20,1,0.25,2.5655415628,4.3443127545,4.8516513498,7.3087963878,0.0335218861,0.0446298575,0.0524089877,0.0817925904,0.0009187051,0.0008945546,52854167,68.0979881287
12,0.01,15,250,300,40,0,0.1133503442,4.3892771475,4.5704630194,6.8123949477,0.0068423414,0.046157192,0.0475028201,0.0768524253,0.0049621079,0.0049207381,17795783758,26724.5567851067
12,0.25,15,100,20,1,0,0,10.316603593,11.223464778,11.7157925487,0.0465458257,0.103901822,0.1209300672,0.1286740674,0.0045182288,0.0045868982,13847686597,11570.4778132439
8,0.25,25,500,300,1,0.1,0,8.2244195273,8.4075607563,10.6360243455,0.035841496,0.0896403036,0.0939040224,0.1205908137,0.0050550103,0.0051225775,1497658338,2177.0542113781
12,0.25,15,100,100,40,0.1,0,11.3936737656,11.7471597093,11.7240888214,0.0711202554,0.1160697537,0.1267625334,0.1301881621,0.0049479704,0.0051219822,14445276861,17455.3717725277
4,0.1,15,500,100,20,0.1,0.9883784357,2.9680008441,3.2226300133,5.1185578659,0.0123841838,0.0308172623,0.0350562182,0.0569733008,0.0016409888,0.0016540294,79345151,885.5307006836
